treecanopy,health,bad_health,mental_health,employment,income,seniors,ethnicity,education,Green_Percentage,air_pollution
0.117841923,0.714599074,0.05171377,-0.846132618,0.767114094,0.785141358,0.077851539,0.574622356,0.311755,23.6171279,0.563918731
0.099218179,0.808737509,0.082229328,0.188134244,0.743990238,0.824422825,0.101733577,0.577889447,0.288294,23.06749918,0.566438407
0.104944817,0.692938094,0.054899646,0.101309491,0.760311165,0.847387843,0.081764706,0.55339233,0.297976,22.3692745,0.567338091
0.084277657,0.696136973,0.051455653,-0.060513257,0.76909701,0.788435146,0.096401901,0.524745763,0.319013,16.66224146,0.569467471
0.095518189,0.630179137,0.050573163,-0.376736772,0.617083588,0.693555766,0.084563758,0.544841537,0.300179,14.63677575,0.575707909
0.075281238,0.68318913,0.054773083,0.092270521,0.765832825,0.830217451,0.100730689,0.466701353,0.310345,18.76466598,0.581027939
0.19756045,0.581312454,0.067243036,-0.00345928,0.787919463,0.825337766,0.090167866,0.419308357,0.255061,78.36195789,0.48324071
0.085930082,0.900926152,0.063841497,0.746170238,0.814704088,0.889932599,0.105466593,0.560747664,0.32644,29.3388945,0.507525539
0.099341837,0.380179137,0.050605061,-0.050618834,0.464948139,0.558022508,0.202086766,0.550136986,0.318087,23.28629257,0.52301193
0.156521897,0.520411894,0.057421875,-0.505140087,0.830292862,0.894873281,0.069368667,0.540951638,0.336645,41.92768494,0.506303999
0.094551922,0.534060444,0.045659526,-0.665390038,0.470622331,0.605355455,0.144463182,0.679864253,0.356683,72.45477574,0.538855326
0.144815388,0.555569096,0.051467051,-0.531161052,0.64652227,0.669248833,0.121868979,0.574243152,0.313131,49.58454173,0.532435323
0.10293522,0.636759688,0.071798189,-0.047767777,0.760555217,0.886211839,0.107652399,0.397144711,0.265471,25.52811795,0.52055219
0.264061724,0.778363393,0.067258883,1.371651577,0.790848078,0.824453323,0.169716088,0.36461636,0.288994,53.86646942,0.498891944
0.063910953,0.684438216,0.067778375,0.793348047,0.576662599,0.680380615,0.133405056,0.482814178,0.305003,24.72924998,0.531784074
0.081749706,0.423805752,0.046938776,-0.070856466,0.451830384,0.552410869,0.112457912,0.533378747,0.333906,14.0529445,0.523950826
0.142014092,0.285522788,0.032999411,-0.354098047,0.622696766,0.484369758,0.142941524,0.368514151,0.299644,22.60168119,0.518698967
0.097744367,0.463624177,0.049474335,-0.220805642,0.495607077,0.607612309,0.154894672,0.358560794,0.288716,17.91911828,0.514104195
0.360550785,0.591548867,0.041142857,-0.411958231,0.457230018,0.608100278,0.136493432,0.414620217,0.3493,77.876372,0.504888439
0.095865244,0.583962954,0.051623204,-0.442897974,0.716229408,0.827838604,0.095111583,0.600744285,0.28703,19.53816491,0.639984701
0.093914027,0.665336339,0.04175705,-0.386619838,0.644539353,0.736466498,0.092391304,0.424143556,0.31259,21.88711283,0.585454475
0.145590001,0.73220814,0.056382979,-0.544324423,0.834075656,0.893531367,0.062966916,0.540870488,0.329819,39.40188356,0.604330649
0.100234791,0.533116013,0.051465798,-0.416808926,0.533496034,0.670804233,0.10793238,0.57421875,0.331148,31.40484182,0.701608651
0.111775431,0.322507921,0.053660983,-1.230016126,0.493410616,0.628167983,0.06027122,0.605527638,0.344164,17.6307824,0.67807298
0.126854151,0.637003412,0.051073709,-0.372880382,0.724039048,0.771569734,0.090644974,0.505800464,0.307154,38.56291416,0.63151996
0.113191898,0.611656105,0.064450128,-0.225889099,0.666259915,0.731952789,0.082737487,0.429595494,0.325086,22.07177333,0.579655953
0.153802293,0.689008043,0.049670552,-1.010859792,0.781909701,0.923022965,0.042046606,0.698227848,0.331116,38.40537904,0.706719378
0.104887257,0.761972947,0.043004899,-0.76004496,0.681574131,0.745188935,0.084782609,0.640217391,0.376281,16.84145677,0.702747595
0.056225641,0.681513527,0.00994575,-1.000203294,0.739749847,0.854158407,0.023529412,0.767148014,0.541878,8.684388434,0.70671203
0.109347552,0.438703388,0.044416244,-0.620709281,0.667022575,0.773216628,0.082875264,0.599746407,0.335878,29.71168607,0.70659275
0.1185892,0.790976115,0.061919505,0.686801007,0.726601586,0.846472902,0.121287129,0.465634675,0.281457,26.11842089,0.618160553
0.092518938,0.60157202,0.051733333,0.030463315,0.594295302,0.755802251,0.106531049,0.418045916,0.317251,21.80445093,0.567553424
0.077438488,0.571015111,0.045828437,-0.501701203,0.680872483,0.81612736,0.098533724,0.444509689,0.282371,21.31464418,0.579540226
0.093298885,0.706129661,0.058651026,0.513524444,0.783648566,0.791545945,0.110653325,0.411971831,0.285375,36.60686574,0.598617388
0.074024689,0.556726785,0.051646223,-0.685741737,0.699023795,0.789411083,0.101029601,0.456535737,0.31299,28.87936058,0.568250882
0.109091308,0.580703144,0.058052434,-0.131173145,0.693197071,0.794687243,0.072497661,0.534644195,0.31781,28.62345364,0.554859071
0.111844931,0.575828662,0.049008168,0.163188781,0.738010982,0.747110311,0.132516054,0.381871345,0.274131,38.49712826,0.569454444
0.151549284,0.63837436,0.057182068,0.289447801,0.73709579,0.801488304,0.094036697,0.518127581,0.323265,53.80419264,0.531288412
0.13345337,0.874055569,0.062402496,1.004062389,0.8804759,0.935222178,0.059917355,0.523068948,0.307692,67.14544903,0.520844118
0.089240086,0.443242749,0.045557059,-0.200271142,0.553264185,0.661014365,0.112714157,0.482167043,0.333532,21.22120831,0.543868195
0.115038995,0.640293688,0.053932584,-0.357521572,0.718913972,0.757906615,0.095238095,0.428008999,0.297521,24.33772047,0.560861596
0.144493498,0.680599561,0.065680731,0.456619271,0.742800488,0.81039373,0.106736658,0.52179599,0.336988,21.70440934,0.545054587
0.105659804,0.825067024,0.076690212,0.369023183,0.85466748,0.845618958,0.133029843,0.4375,0.283105,21.33642389,0.555774258
0.132074265,0.538142822,0.044035228,-0.814580679,0.600671141,0.67318308,0.103916867,0.757818765,0.299061,24.93467664,0.590849594
0.104792061,0.331251523,0.038513211,-0.407052139,0.393746187,0.624294733,0.105004468,0.735241503,0.344478,27.30997393,0.597555767
0.179579253,0.588715574,0.041156841,-0.855497909,0.463971934,0.593217237,0.108017817,0.743589744,0.376097,49.44505611,0.637286698
0.0934901,0.23723495,0.02765856,-0.771177334,0.424679683,0.442739943,0.094303494,0.741305384,0.316271,26.33967096,0.617986317
0.136542802,0.309986595,0.044294656,-0.737041719,0.480079317,0.543535942,0.119980648,0.759053597,0.372744,46.13160871,0.613098999
0.208890932,0.389440653,0.03642638,-0.872688585,0.325228798,0.618530605,0.097158218,0.725806452,0.377756,25.13417991,0.615872171
0.148621589,0.715116988,0.054832714,-0.23667838,0.765649786,0.864314252,0.083990719,0.509073988,0.307102,55.19508736,0.58903658
