MHI_2022,LSOA22
-0.027439854,E01033937
0.8819726,E01000601
-0.365765322,E01000602
0.04820069,E01000603
0.023279146,E01000604
0.103256988,E01000605
-0.922845684,E01000606
-1.093793819,E01000607
-0.674142674,E01000608
-0.533138538,E01000609
-0.655728013,E01000610
-1.241357402,E01000611
-0.834733451,E01000612
-0.336136326,E01000613
-0.038724889,E01000615
-0.751527888,E01000616
0.932046907,E01000617
-0.448971321,E01000618
-0.994364486,E01000619
-0.512504325,E01000620
-0.53365764,E01000621
-0.345676881,E01000622
-0.662263853,E01000623
-0.501353291,E01000624
0.191121614,E01000625
0.177397841,E01000626
-0.191621388,E01000627
0.708327227,E01000628
-0.787143615,E01000629
-0.865210543,E01000630
-1.443981655,E01000631
-1.290418926,E01000632
-1.248761114,E01000633
-0.816145515,E01000634
-0.711492266,E01033935
-1.086993305,E01000636
-0.478179715,E01000637
-0.564807291,E01000638
-0.876455884,E01000639
-0.795812611,E01000640
0.043052755,E01000641
-0.36190857,E01000642
0.879353039,E01000643
-0.580547928,E01000644
-0.42817939,E01000645
0.028059241,E01000646
-0.58822367,E01000647
0.390285929,E01000648
-0.386307829,E01000649
0.071043197,E01000650
2.681790661,E01000651
-0.404570369,E01000652
0.041505799,E01000653
-0.181287942,E01000654
-0.009714431,E01000655
-0.071818453,E01000656
0.318970084,E01000657
0.454816841,E01000658
-0.123161051,E01000659
0.627814569,E01000661
0.154527195,E01000662
0.010844886,E01000663
0.252838578,E01000664
0.199186474,E01000665
0.059960134,E01000666
0.01766738,E01000667
0.886423355,E01000668
-0.150623845,E01000669
-0.393344983,E01000670
-0.154617585,E01000671
0.018621841,E01000672
-0.175162025,E01000673
-0.000111445,E01000674
-0.256055337,E01034386
-0.044826156,E01000676
-0.506568013,E01000677
-0.229271021,E01000678
-0.055244668,E01000679
-0.246787086,E01000680
-0.277956984,E01000681
-0.351664758,E01000682
-0.373813304,E01000683
-0.774751067,E01000684
-0.190290208,E01000685
0.447130453,E01000686
-0.225878246,E01000687
-0.437802389,E01000688
0.277171204,E01000689
-0.416187223,E01000690
0.200271225,E01000691
0.061377642,E01000692
1.016433174,E01000693
0.041441436,E01000694
-0.258186665,E01000695
-0.04068955,E01000696
-0.329390321,E01000697
-0.00518904,E01000698
0.034294281,E01000699
-0.006053186,E01000700
-0.473942135,E01000701
-0.486715786,E01000702
-0.320964001,E01000703
-0.005402265,E01000704
-0.136544531,E01000705
-0.075194095,E01000706
-0.406198952,E01000707
-0.010164391,E01000708
0.57330263,E01000709
-0.243138753,E01000710
-0.297375239,E01000711
-0.253468746,E01000712
-0.608989704,E01000713
-0.448588576,E01000714
0.148434306,E01000715
1.136284524,E01000716
-0.162932666,E01000717
-0.44570612,E01000718
0.797086594,E01000719
1.22056151,E01000720
0.69123477,E01000721
0.683886802,E01000722
0.114443063,E01000723
0.515071837,E01000724
0.920780276,E01000725
0.823072339,E01000726
0.376402249,E01000727
1.119384939,E01000728
0.921789804,E01000729
0.759014444,E01000730
0.426146112,E01000731
0.244465746,E01000732
0.470848629,E01000733
-0.28816725,E01000734
0.644629393,E01000735
0.793003986,E01000736
1.024560274,E01000737
1.303027069,E01000738
1.498446359,E01000739
-0.299863676,E01034383
0.381679503,E01000741
-0.25476719,E01000742
1.364271602,E01000743
1.123466715,E01000744
-0.155820259,E01000745
-0.095096733,E01000746
0.12770528,E01000747
0.40183451,E01000748
0.269090858,E01000749
0.585160747,E01000750
0.034819593,E01000751
0.136182554,E01000752
0.042936923,E01000753
