bge_code,bge_type,la_name,co_name,reg_name,country,total_pop,urban_area,urban_pct,tc_goal,treecanopy,tc_gap,priority_i,inc_rank,incnorm,inc_dec,emp_rank,empnorm,emp_dec,hlth_rank,hlthnorm,hlth_dec,temp_diff,tempnorm,NO2_avg,PM25_avg,apb_index,dep_ratio,depratnorm,dep_perc,tes,la_tes,pctmineth,pct_child,pct_senior,la_code,co_code,peat
E01000032,LSOA,Barking and Dagenham,Dagenham and Rainham,London,England,2076,0.375617225,1,0.24,0.144815388,0.095184612,0.578851278,10854,0.669248833,4,11603,0.64652227,4,14597,0.555569096,5,-0.06,0.548026316,18.161,8.246,0.532435323,0.618082619,0.240540017,0.381984586,84,80,0.574243152,0.260115607,0.121868979,E09000002,E14000657,0
E01000033,LSOA,Barking and Dagenham,Dagenham and Rainham,London,England,1542,0.145403922,1,0.2,0.10293522,0.09706478,0.648707767,3732,0.886211839,2,7857,0.760555217,3,11932,0.636759688,5,0.52,0.586184211,18.074,8.092,0.52055219,0.687089716,0.267788637,0.407263294,82,80,0.397144711,0.299610895,0.107652399,E09000002,E14000657,0
E01000034,LSOA,Barking and Dagenham,Dagenham and Rainham,London,England,1585,0.481067838,1,0.3,0.264061724,0.035938276,0.634990321,5759,0.824453323,3,6863,0.790848078,3,7279,0.778363393,3,-2.04,0.417763158,17.453,7.912,0.498891944,0.657949791,0.256282245,0.396845426,93,80,0.36461636,0.227129338,0.169716088,E09000002,E14000657,0
E01000035,LSOA,Barking and Dagenham,Dagenham and Rainham,London,England,1859,0.397412691,1,0.24,0.063910953,0.176089047,0.608716068,10489,0.680380615,4,13897,0.576662599,5,10364,0.684438216,4,1.86,0.674342105,18.494,8.164,0.531784074,0.626421697,0.243832844,0.385153308,69,80,0.482814178,0.251748252,0.133405056,E09000002,E14000657,0
E01000036,LSOA,Barking and Dagenham,Dagenham and Rainham,London,England,1485,0.411146916,1,0.3,0.081749706,0.218250294,0.504234793,14690,0.552410869,6,17997,0.451830384,6,18923,0.423805752,7,-0.25,0.535526316,18.37,8.077,0.523950826,0.534090909,0.20737447,0.348148148,68,80,0.533378747,0.235690236,0.112457912,E09000002,E14000657,0
E01000037,LSOA,Barking and Dagenham,Dagenham and Rainham,London,England,1693,0.233005835,1,0.24,0.142014092,0.097985908,0.500011414,16924,0.484369758,6,12386,0.622696766,5,23465,0.285522788,8,0.1,0.558552632,18.368,8.001,0.518698967,0.507569012,0.19690185,0.336680449,86,80,0.368514151,0.193738925,0.142941524,E09000002,E14000657,0
E01000038,LSOA,Barking and Dagenham,Dagenham and Rainham,London,England,1614,0.21416454,1,0.24,0.097744367,0.142255633,0.535889016,12877,0.607612309,5,16560,0.495607077,6,17616,0.463624177,6,0.43,0.580263158,18.139,7.984,0.514104195,0.628657921,0.244715854,0.385997522,78,80,0.358560794,0.23110285,0.154894672,E09000002,E14000657,0
E01000039,LSOA,Barking and Dagenham,Dagenham and Rainham,London,England,1751,1.460108046225435,1,0.36,0.360550785,0,0.520400055,12861,0.608100278,5,17820,0.457230018,6,13416,0.591548867,5,-2.36,0.396710526,17.817,7.92,0.504888439,0.62732342,0.244188904,0.385494003,100,80,0.414620217,0.249000571,0.136493432,E09000002,E14000657,0
E01000040,LSOA,Barking and Dagenham,Barking,London,England,1882,0.170751806,1,0.2,0.095865244,0.104134756,0.637451294,5648,0.827838604,3,9313,0.716229408,4,13665,0.583962954,5,0.44,0.580921053,22.079,8.958,0.639984701,0.601702128,0.234071903,0.375664187,81,80,0.600744285,0.280552604,0.095111583,E09000002,E14000540,0
E01000041,LSOA,Barking and Dagenham,Barking,London,England,1840,0.152717856,1,0.2,0.093914027,0.106085973,0.613743526,8647,0.736466498,4,11669,0.644539353,4,10992,0.665336339,4,0.11,0.559210526,20.019,8.613,0.585454475,0.601392515,0.233949648,0.375543478,81,80,0.424143556,0.283152174,0.092391304,E09000002,E14000540,0
E01000042,LSOA,Barking and Dagenham,Barking,London,England,1874,0.231338831,1,0.2,0.145590001,0.054409999,0.673031404,3492,0.893531367,2,5445,0.834075656,2,8795,0.73220814,4,-0.64,0.509868421,20.757,8.727,0.604330649,0.632404181,0.246195129,0.387406617,89,80,0.540870488,0.324439701,0.062966916,E09000002,E14000540,0
E01000043,LSOA,Barking and Dagenham,Barking,London,England,1538,0.2661987,1,0.24,0.100234791,0.139765209,0.579856621,10803,0.670804233,4,15314,0.533496034,6,15334,0.533116013,6,0.06,0.555921053,24.535,9.32,0.701608651,0.525793651,0.204098157,0.344603381,77,80,0.57421875,0.236671001,0.10793238,E09000002,E14000540,0
E01000044,LSOA,Barking and Dagenham,Barking,London,England,1991,0.170677823,1,0.2,0.111775431,0.088224569,0.537656687,12202,0.628167983,5,16632,0.493410616,6,22250,0.322507921,8,0.82,0.605921053,23.605,9.18,0.67807298,0.489154824,0.189630697,0.328478152,86,80,0.605527638,0.268206931,0.06027122,E09000002,E14000540,0
E01000045,LSOA,Barking and Dagenham,Barking,London,England,1721,0.2983738,1,0.24,0.126854151,0.113145849,0.639742985,7494,0.771569734,3,9056,0.724039048,4,11924,0.637003412,5,0.7,0.598026316,22.023,8.847,0.63151996,0.60690943,0.236128095,0.377687391,79,80,0.505800464,0.287042417,0.090644974,E09000002,E14000540,0
E01000046,LSOA,Barking and Dagenham,Barking,London,England,1958,0.155570496,1,0.2,0.113191898,0.086808102,0.612629046,8795,0.731952789,4,10956,0.666259915,4,12756,0.611656105,5,0.72,0.599342105,19.907,8.553,0.579655953,0.587996756,0.228660106,0.370275792,84,80,0.429595494,0.287538304,0.082737487,E09000002,E14000540,0
